City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,bolu,40.5516,31.6056,33,98,100,2.5,tr,1682651330
236,devinuwara,1.4638,80.1122,84,74,100,3.79,lk,1682651330
237,lagoa,-28.7127,-45.6282,72,68,5,9.32,br,1682651330
238,remire-montjoly,4.5465,-50.2461,81,76,100,5.86,gf,1682651331
239,la passe,-4.2006,60.3586,83,76,100,2.87,sc,1682651331
240,acapulco de juarez,11.4915,-101.0852,83,66,32,2.07,mx,1682651331
241,gadzhiyevo,89.2876,40.4725,-5,97,99,4.51,ru,1682651331
242,krasnokamensk,49.7932,118.4099,48,41,93,4.45,ru,1682651332
243,zaysan,47.8518,84.8527,61,35,51,3.49,kz,1682651332
244,hitchcock,29.1275,-94.9891,72,76,61,4.21,us,1682651332
245,gueltat zemmour,25.0571,-13.588,67,67,0,4.13,ma,1682651332
246,santa rosalia,27.6544,-111.7218,73,57,0,2.36,mx,1682651332
247,sirjan,28.8225,55.3101,58,63,69,2.04,ir,1682651333
248,bure,10.4579,37.0365,62,74,99,0.24,et,1682651333
249,nguigmi,15.7465,12.8979,81,12,1,3.16,ne,1682651333
250,warwick,-28.0945,152.0062,76,38,43,1.58,au,1682651333
251,berrahal,37.1939,7.2948,65,72,44,4.13,dz,1682651333
252,coxim,-17.916,-55.5141,72,93,0,2.35,br,1682651334
253,arraial do cabo,-30.6238,-30.5326,72,91,100,11.22,br,1682651334
254,adjumani,3.3235,32.3058,69,96,100,2.6,ug,1682651334
255,charlestown,16.6846,-63.0261,81,73,35,2.43,kn,1682651334
256,alofi,-17.4304,-169.311,80,80,100,4.91,nu,1682651335
257,shangzhi,44.7814,128.4838,49,89,100,1.25,cn,1682651335
258,qaqortoq,57.5273,-41.4552,40,84,98,18.0,gl,1682651335
259,alice springs,-28.6891,132.8824,72,34,99,5.11,au,1682651335
260,yaring,7.3689,101.6014,84,75,100,2.25,th,1682651336
261,greenville,1.1937,-12.582,82,77,81,4.29,lr,1682651336
262,pajapan,18.6847,-94.594,80,83,35,5.31,mx,1682651336
263,callaway,28.5187,-84.645,72,87,100,4.88,us,1682651336
264,lionel town,16.938,-77.3281,81,71,8,5.44,jm,1682651336
265,tarinkot,32.5557,65.3594,76,23,36,1.17,af,1682651337
266,pueblo nuevo,23.1944,-105.404,52,60,0,1.03,mx,1682651337
267,iwanai,43.1276,139.1156,47,95,100,6.79,jp,1682651337
268,kiama,-38.1,157.4318,66,73,29,8.9,au,1682651337
269,barakani,-10.7457,46.1153,82,78,36,9.64,km,1682651338
270,queenstown,-43.9759,163.9176,59,80,91,8.71,nz,1682651338
271,avarua,-22.2749,-156.9625,73,67,97,5.71,ck,1682651338
272,the pas,53.1762,-99.8402,34,97,100,2.74,ca,1682651338
273,jayapura,0.8682,140.2526,84,70,63,0.65,id,1682651338
274,betio village,3.0863,172.1814,83,78,88,6.43,ki,1682651339
275,happy valley-goose bay,54.1898,-61.4279,31,89,82,3.07,ca,1682651339
276,magdeburg,52.1353,11.6158,43,76,100,2.91,de,1682651339
277,lozuvatka,48.089,33.2147,46,88,100,6.31,ua,1682651339
278,argostolion,36.3321,19.0491,61,65,100,8.16,gr,1682651339
279,kokstad,-30.9563,29.7179,61,93,100,0.82,za,1682651340
280,powell,44.6351,-108.1599,45,53,0,10.29,us,1682651340
281,boleslawiec,51.3175,15.4843,40,77,100,2.21,pl,1682651340
282,penzance,48.9967,-5.8339,54,89,93,7.41,gb,1682651340
283,carnarvon,-25.994,116.4267,76,25,24,8.53,au,1682651340
284,lebu,-31.482,-86.3913,68,74,81,13.2,cl,1682651341
285,suva,-19.3775,177.4843,82,78,18,6.33,fj,1682651341
286,san jose de jachal,-29.7937,-68.5948,50,41,0,0.62,ar,1682651341
287,san rafael,-34.1636,-68.4848,64,46,4,3.96,ar,1682651341
288,kill devil hills,34.4631,-70.7397,65,68,65,8.02,us,1682651342
289,brookings,40.8572,-138.4301,54,91,100,5.92,us,1682651342
290,rongelap,26.9809,167.2737,72,73,0,5.44,mh,1682651343
291,al wafrah,28.6784,47.5566,79,20,0,3.07,kw,1682651344
292,awjilah,26.2106,19.3983,66,44,0,5.13,ly,1682651344
293,gislaved,57.5324,13.6368,34,92,0,1.79,se,1682651345
294,gonabad,34.5811,58.8348,72,13,57,2.8,ir,1682651346
295,temryuk,45.7934,37.1506,54,95,99,3.57,ru,1682651347
296,fortuna,38.796,-142.3737,56,94,97,8.71,us,1682651348
297,batangafo,7.2798,18.2873,74,77,99,0.26,cf,1682651351
298,sault ste. marie,47.6075,-83.6735,36,93,100,3.78,ca,1682651353
299,vigia,-0.9795,-48.1248,73,96,100,0.7,br,1682651353
300,dunedin,-59.5427,178.9342,42,97,100,10.9,nz,1682651353
301,salinopolis,4.2661,-45.7664,81,78,98,7.31,br,1682651354
302,chuguyevka,44.2731,134.0041,48,71,100,1.14,ru,1682651360
303,hachinohe,40.3791,141.4683,64,38,38,5.99,jp,1682651363
304,torghay,48.9905,64.3062,66,29,6,5.01,kz,1682651370
305,mahina,-14.3502,-145.224,83,77,44,6.35,pf,1682651371
306,aldinga beach,-35.7271,137.7156,60,49,94,4.75,au,1682651372
307,kingston,-36.4076,163.4763,64,69,77,4.41,nf,1682651372
308,masumbwe,-3.8191,32.2537,61,94,44,0.86,tz,1682651373
309,nalut,31.6394,10.2734,67,37,0,5.23,ly,1682651373
310,harper,-2.0844,-10.3381,81,76,18,5.35,lr,1682651373
311,arteche,14.9896,131.4208,84,80,8,8.68,ph,1682651374
312,mugia,46.5541,-12.3188,57,93,100,3.73,es,1682651374
313,al wajh,26.4722,35.8571,76,73,0,7.25,sa,1682651375
314,greymouth,-37.8996,164.6296,62,65,85,4.58,nz,1682651375
315,hamlin,43.5112,-77.9627,47,76,37,6.29,us,1682651375
316,terrace,57.4604,-128.7938,25,82,88,4.17,ca,1682651376
317,fort bragg,39.0347,-124.2761,53,92,6,5.86,us,1682651376
318,kapuskasing,63.3492,-84.8267,25,97,100,3.54,ca,1682651377
319,christchurch,-44.4517,173.3739,55,89,0,7.63,nz,1682651378
320,taro,-4.7892,157.1371,85,73,93,3.67,sb,1682651378
321,sayalkudi,8.6967,78.6649,84,74,100,5.84,in,1682651378
322,lexington,42.215,-99.5447,53,81,100,4.5,us,1682651378
323,umatac village,13.1684,142.8224,82,85,2,8.8,gu,1682651379
324,kigoma,-4.7186,28.7703,62,93,72,1.71,tz,1682651379
325,kolonia,8.5776,158.3836,82,81,97,9.78,fm,1682651380
326,xilin hot,46.1727,117.585,42,36,57,7.53,cn,1682651380
327,cabo san lucas,11.2582,-116.3369,80,70,92,4.97,mx,1682651380
328,huarmey,-15.7772,-89.4758,74,77,0,4.57,pe,1682651381
329,kirensk,61.3079,108.8199,35,74,65,4.31,ru,1682651381
330,shanghai,30.9238,121.9384,73,89,46,5.18,cn,1682651382
331,aconibe,1.1042,10.9288,67,99,100,0.94,gq,1682651382
332,baringo,0.5169,36.0787,69,76,82,0.24,ke,1682651382
333,rio gallegos,-51.1217,-68.7788,48,75,100,3.73,ar,1682651383
334,kone,-20.1573,164.0304,77,69,22,9.34,nc,1682651384
335,luena,-13.7398,20.1289,54,59,55,0.61,ao,1682651384
336,tingi,-11.5915,34.9852,64,84,27,2.95,tz,1682651386
337,benguela,-13.178,12.5292,79,80,90,4.9,ao,1682651386
338,flying fish cove,-17.4502,106.8438,78,79,100,8.82,cx,1682651386
339,salima,-13.5426,34.4217,68,84,59,3.04,mw,1682651387
340,progreso,23.8787,-90.3588,78,87,99,4.37,mx,1682651387
341,escanaba,45.1583,-86.7021,47,77,100,5.61,us,1682651387
342,porto belo,-27.2113,-48.3859,68,82,8,5.41,br,1682651387
343,broken hill,-29.7789,143.02,80,30,58,2.97,au,1682651388
344,afaahiti,-14.6552,-144.2859,83,77,44,6.65,pf,1682651388
345,roja,58.0241,23.1015,41,85,22,5.87,lv,1682651388
346,siwa oasis,28.8702,25.3183,59,56,0,3.98,eg,1682651389
347,murray bridge,-35.6822,140.3885,59,65,93,2.94,au,1682651389
348,kidal,19.5207,-0.7316,82,9,0,1.97,ml,1682651389
